"","year","fc_geoid","fc_geo_type","violation_class","viol"
"729",2012,"36005024501","tract","C",43
"730",2012,"36005024502","tract","A",99
"731",2012,"36005024502","tract","B",231
"732",2012,"36005024502","tract","C",70
"733",2012,"36005024600","tract","B",1
"734",2012,"36005024600","tract","C",2
"735",2012,"36005024700","tract","A",11
"736",2012,"36005024700","tract","B",20
"737",2012,"36005024700","tract","C",7
"738",2012,"36005024800","tract","A",18
"739",2012,"36005024800","tract","B",57
"740",2012,"36005024800","tract","C",17
"741",2012,"36005025000","tract","A",2
"742",2012,"36005025000","tract","B",9
"743",2012,"36005025100","tract","A",154
"744",2012,"36005025100","tract","B",393
"745",2012,"36005025100","tract","C",140
"746",2012,"36005025200","tract","A",4
"747",2012,"36005025200","tract","B",32
"748",2012,"36005025200","tract","C",5
"749",2012,"36005025300","tract","A",92
"750",2012,"36005025300","tract","B",204
"751",2012,"36005025300","tract","C",64
"752",2012,"36005025400","tract","A",5
"753",2012,"36005025400","tract","B",18
"754",2012,"36005025400","tract","C",3
"755",2012,"36005025500","tract","A",187
"756",2012,"36005025500","tract","B",415
"757",2012,"36005025500","tract","C",118
"758",2012,"36005025600","tract","A",15
